DEB [20220215-10:36:08.428] thr=1   paramiko.transport: starting thread (client mode): 0x435e4048
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: Compression: none
DEB [20220215-10:36:18.249] thr=3   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:36:18.289] thr=3   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:36:18.290] thr=3   paramiko.transport: Switch to new keys ...
DEB [20220215-10:36:18.290] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:36:18.291] thr=3   paramiko.transport: userauth is OK
INF [20220215-10:36:18.291] thr=3   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:36:32.349] thr=4   paramiko.transport: starting thread (client mode): 0x43625f98
DEB [20220215-10:36:32.349] thr=4   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:36:32.352] thr=4   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:36:32.352] thr=4   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:36:32.353] thr=4   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:36:32.353] thr=4   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:36:32.353] thr=4   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: client compress: zlib, none
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: server compress: zlib, none
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: client lang: <none>
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: server lang: <none>
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: kex follows: False
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:36:32.354] thr=4   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:36:32.355] thr=4   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:36:32.355] thr=4   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:36:32.355] thr=4   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:36:32.355] thr=4   paramiko.transport: Compression: none
DEB [20220215-10:36:32.355] thr=4   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:36:32.395] thr=4   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:36:32.395] thr=4   paramiko.transport: Switch to new keys ...
DEB [20220215-10:36:32.396] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:36:32.397] thr=4   paramiko.transport: userauth is OK
INF [20220215-10:36:32.397] thr=4   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:36:39.006] thr=5   paramiko.transport: starting thread (client mode): 0x4350a5f8
DEB [20220215-10:36:39.006] thr=5   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:36:39.011] thr=5   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:36:39.011] thr=5   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:36:39.012] thr=5   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:36:39.012] thr=5   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: client compress: zlib, none
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: server compress: zlib, none
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: client lang: <none>
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: server lang: <none>
DEB [20220215-10:36:39.013] thr=5   paramiko.transport: kex follows: False
DEB [20220215-10:36:39.014] thr=5   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:36:39.014] thr=5   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:36:39.014] thr=5   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:36:39.014] thr=5   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:36:39.014] thr=5   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:36:39.014] thr=5   paramiko.transport: Compression: none
DEB [20220215-10:36:39.014] thr=5   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:36:39.054] thr=5   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:36:39.055] thr=5   paramiko.transport: Switch to new keys ...
DEB [20220215-10:36:39.055] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:36:39.056] thr=5   paramiko.transport: userauth is OK
INF [20220215-10:36:39.056] thr=5   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:36:42.915] thr=6   paramiko.transport: starting thread (client mode): 0x43628588
DEB [20220215-10:36:42.915] thr=6   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:36:42.920] thr=6   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:36:42.921] thr=6   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: client compress: zlib, none
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: server compress: zlib, none
DEB [20220215-10:36:42.922] thr=6   paramiko.transport: client lang: <none>
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: server lang: <none>
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: kex follows: False
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: Compression: none
DEB [20220215-10:36:42.923] thr=6   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:36:42.964] thr=6   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:36:42.964] thr=6   paramiko.transport: Switch to new keys ...
DEB [20220215-10:36:42.965] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:36:42.965] thr=6   paramiko.transport: userauth is OK
INF [20220215-10:36:42.966] thr=6   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:37:23.729] thr=7   paramiko.transport: starting thread (client mode): 0x43625c50
DEB [20220215-10:37:23.729] thr=7   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:37:23.729] thr=7   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:37:23.729] thr=7   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:37:23.730] thr=7   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:37:23.730] thr=7   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: client compress: zlib, none
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: server compress: zlib, none
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: client lang: <none>
DEB [20220215-10:37:23.731] thr=7   paramiko.transport: server lang: <none>
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: kex follows: False
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: Compression: none
DEB [20220215-10:37:23.732] thr=7   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:37:23.774] thr=7   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:37:23.774] thr=7   paramiko.transport: Switch to new keys ...
DEB [20220215-10:37:23.775] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:37:23.775] thr=7   paramiko.transport: userauth is OK
INF [20220215-10:37:23.776] thr=7   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:40:03.951] thr=8   paramiko.transport: starting thread (client mode): 0x44634ba8
DEB [20220215-10:40:03.951] thr=8   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:40:03.958] thr=8   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:40:03.958] thr=8   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:40:03.959] thr=8   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:40:03.959] thr=8   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:40:03.959] thr=8   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:40:03.959] thr=8   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:40:03.959] thr=8   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:40:03.959] thr=8   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:40:03.959] thr=8   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: client compress: zlib, none
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: server compress: zlib, none
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: client lang: <none>
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: server lang: <none>
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: kex follows: False
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:40:03.960] thr=8   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:40:03.961] thr=8   paramiko.transport: Compression: none
DEB [20220215-10:40:03.961] thr=8   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:40:04.197] thr=8   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:40:04.198] thr=8   paramiko.transport: Switch to new keys ...
DEB [20220215-10:40:04.198] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:40:04.200] thr=8   paramiko.transport: userauth is OK
INF [20220215-10:40:04.202] thr=8   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:40:08.219] thr=9   paramiko.transport: starting thread (client mode): 0x44645080
DEB [20220215-10:40:08.219] thr=9   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:40:08.236] thr=9   paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:40:08.236] thr=9   paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:40:08.237] thr=9   paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:40:08.237] thr=9   paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: server key: ssh-rsa
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: client compress: zlib, none
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: server compress: zlib, none
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: client lang: <none>
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: server lang: <none>
DEB [20220215-10:40:08.238] thr=9   paramiko.transport: kex follows: False
DEB [20220215-10:40:08.239] thr=9   paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:40:08.239] thr=9   paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:40:08.239] thr=9   paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:40:08.239] thr=9   paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:40:08.239] thr=9   paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:40:08.239] thr=9   paramiko.transport: Compression: none
DEB [20220215-10:40:08.239] thr=9   paramiko.transport: === End of kex handshake ===
DEB [20220215-10:40:08.297] thr=9   paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:40:08.298] thr=9   paramiko.transport: Switch to new keys ...
DEB [20220215-10:40:08.299] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:40:08.300] thr=9   paramiko.transport: userauth is OK
INF [20220215-10:40:08.301] thr=9   paramiko.transport: Authentication (password) failed.
DEB [20220215-10:42:16.798] thr=10  paramiko.transport: starting thread (client mode): 0x44623748
DEB [20220215-10:42:16.799] thr=10  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:42:16.804] thr=10  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:42:16.804] thr=10  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:42:16.805] thr=10  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: client compress: zlib, none
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: server compress: zlib, none
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: client lang: <none>
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: server lang: <none>
DEB [20220215-10:42:16.806] thr=10  paramiko.transport: kex follows: False
DEB [20220215-10:42:16.807] thr=10  paramiko.transport: === Key exchange agreements ===
DEB [20220215-10:42:16.807] thr=10  paramiko.transport: Kex: diffie-hellman-group14-sha1
DEB [20220215-10:42:16.807] thr=10  paramiko.transport: HostKey: ssh-rsa
DEB [20220215-10:42:16.807] thr=10  paramiko.transport: Cipher: aes128-ctr
DEB [20220215-10:42:16.807] thr=10  paramiko.transport: MAC: hmac-sha1
DEB [20220215-10:42:16.807] thr=10  paramiko.transport: Compression: none
DEB [20220215-10:42:16.807] thr=10  paramiko.transport: === End of kex handshake ===
DEB [20220215-10:42:16.848] thr=10  paramiko.transport: kex engine KexGroup14 specified hash_algo <built-in function openssl_sha1>
DEB [20220215-10:42:16.849] thr=10  paramiko.transport: Switch to new keys ...
DEB [20220215-10:42:16.849] thr=2   paramiko.transport: Attempting password auth...
DEB [20220215-10:42:16.850] thr=10  paramiko.transport: userauth is OK
INF [20220215-10:42:16.851] thr=10  paramiko.transport: Authentication (password) failed.
DEB [20220215-10:42:20.631] thr=11  paramiko.transport: starting thread (client mode): 0x44645ba8
DEB [20220215-10:42:20.632] thr=11  paramiko.transport: Local version/idstring: SSH-2.0-paramiko_2.9.2
DEB [20220215-10:42:20.637] thr=11  paramiko.transport: Remote version/idstring: SSH-2.0-WeOnlyDo-wodFTPD 3.3.0.424
INF [20220215-10:42:20.637] thr=11  paramiko.transport: Connected (version 2.0, client WeOnlyDo-wodFTPD)
DEB [20220215-10:42:20.638] thr=11  paramiko.transport: === Key exchange possibilities ===
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: kex algos: diffie-hellman-group1-sha1, diffie-hellman-group14-sha1
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: server key: ssh-rsa
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: client encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: server encrypt: aes128-cbc, aes128-ctr, 3des-cbc, blowfish-cbc, aes192-cbc, aes192-ctr, aes256-cbc, aes256-ctr, rijndael128-cbc, rijndael192-cbc, rijndael256-cbc, rijndael-cbc@lysator.liu.se
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: client mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: server mac: hmac-sha1, hmac-md5, none
DEB [20220215-10:42:20.639] thr=11  paramiko.transport: client compress: zlib, none
